Website,Category,Link name,Notes/Usage,Freq,URL
MarketMojo,Stock analysis,Stock Fundamental analysis with Ratings,"DOTs: Quality, Valuation, Financial Trend and Technical",Any,https://www.marketsmojo.com/stocks-analysis/asian-paints-244442-0
Trendlyne,Stock analysis,Stock Fundamental analysis with SWAT,SWAT Analysis,Any,https://trendlyne.com/equity/117/ASIANPAINT/asian-paints-ltd/
Tijori,Stock analysis,Stock Fundamental analysis,Normal analysis,Any,https://www.tijorifinance.com/?r=n
ValueResearch,Stock analysis,Stock Fundamental analysis with Rating Starts,Valuate the stocks here,Any,https://www.valueresearchonline.com/stocks/44811/tata-consultancy-services-ltd/
MoneyWorks4me,Stock analysis,Stock Fundamental analysis with Rating Starts,Valuate the stocks here,Any,https://www.moneyworks4me.com/indianstocks/large-cap/it-ites/it-software/infosys/company-info
Screener.in,Stock analysis,Complete Fundamental analysis end to end,Use this as primary,Any,https://www.screener.in/
OneIndia,Tamil blogs,Sharemarket and Personal finance news,Some of them are not related to Stocks and distraction us,Any,https://tamil.goodreturns.in/topic/share-market
ZeeNews,Tamil blogs,Sharemarket and Personal finance,Not upto date (slow) news about sharemarket,Any,https://zeenews.india.com/tamil/topics/stock-market
ET,Tamil blogs,Home page,Some of them are not related to Stocks and distraction us,Any,https://tamil.economictimes.com/
ET,Tamil blogs,Market Page,Some of them are not related to Stocks and distraction us,Any,https://tamil.economictimes.com/markets
Vikatan,Tamil blogs,Sharemarket News home,News in tamil,Any,https://www.vikatan.com/personal-finance/share-market
Vikatan,Tamil blogs,Sharemaket articles highlights,Article in tamil,Any,https://www.vikatan.com/topics/stock-market
HindustanTamil,Tamil blogs,Sharemarket update highlights,Stocks tips,Any,https://tamil.hindustantimes.com/amp/topic/stock-market
TheHindu,Tamil blogs,Stocks news,Stocks highlight,Any,https://www.thehindubusinessline.com/tamil/tamil-share-market/
BBC,Tamil blogs,Sharemarket news,News about sharemarket including world,Any,https://www.bbc.com/tamil/topics/c2dwqdw4zw8t
PudhiyaThalaimurai,Tamil blogs,News home,Some of them are not related to Stocks and distraction us,Any,https://www.puthiyathalaimurai.com/business
ZerodhaPulse,News,All in one News with highlights,Use our tampermonkey script,Daily,https://pulse.zerodha.com
